BV号,出现时间,弹幕类型,字的大小,颜色,上传时间,uid,弹幕内容
BV1i34112729,17.15800,1,25,0xFFFFFF,2021-9-23,d1b42280,月亮姐姐！！！
BV1i34112729,49.44700,1,25,0xFFFFFF,2021-9-23,9f98a80b,中秋节快乐
BV1i34112729,85.42500,1,25,0xFFFFFF,2021-9-23,56d3e73c,中秋节配月亮姐姐yyds
BV1i34112729,62.55500,1,25,0xFFFFFF,2021-9-22,790f67a9,中秋快乐
BV1i34112729,58.51500,1,25,0xFFFFFF,2021-9-22,139b0fe,哈哈哈哈哈哈哈哈姐
BV1i34112729,89.64000,1,25,0xFEF102,2021-9-22,5ddd9b0b,中秋节快乐
BV1i34112729,78.01900,1,25,0xFFFFFF,2021-9-22,162c665d, 中秋节快乐
BV1i34112729,77.99500,1,25,0xFFFFFF,2021-9-22,33cf972f,中秋节快乐
BV1i34112729,41.75000,1,25,0xFFFFFF,2021-9-22,65f23b23,中秋快乐
BV1i34112729,45.54500,1,25,0xFFFFFF,2021-9-22,367550ae,中秋节快乐
BV1i34112729,52.37000,1,25,0xFFFFFF,2021-9-22,c7ffc99b,好好听！！！！！！！！！
BV1i34112729,133.62500,1,25,0xFFFFFF,2021-9-22,520c5091,中秋快乐
BV1i34112729,39.74800,1,25,0xFFFFFF,2021-9-22,211152b9,中秋节快乐
BV1i34112729,88.72400,1,25,0xFFFFFF,2021-9-22,3702d3ef,月亮姐姐唱的好
BV1i34112729,68.51900,1,25,0xFFFFFF,2021-9-22,8a9cefa2,中秋快乐
BV1i34112729,95.61900,1,25,0xFFFFFF,2021-9-22,cc7b3b2e,中秋快乐
BV1i34112729,65.58900,1,25,0xFFFFFF,2021-9-21,f508821e,中秋快乐
BV1i34112729,68.19400,1,25,0xFFFFFF,2021-9-21,36dfe964,中秋节快乐
BV1i34112729,74.66300,1,25,0xFFFFFF,2021-9-21,3f3ae671,中秋快乐
BV1i34112729,68.57900,1,25,0xFFFFFF,2021-9-21,50121018,中秋快乐
BV1i34112729,65.23900,1,25,0xFFFFFF,2021-9-21,50121018,中秋快乐
BV1i34112729,100.65400,1,25,0xFFFFFF,2021-9-21,577033e7,中秋快乐
BV1i34112729,54.08100,1,25,0xFFFFFF,2021-9-21,5eb29e18,中秋节快乐
BV1i34112729,33.83800,1,25,0xFFFFFF,2021-9-21,298a6a11,冰冰给我唱歌了！
BV1i34112729,57.07300,1,25,0xFFFFFF,2021-9-21,a9beedcf,中秋节快乐
BV1i34112729,129.98300,1,25,0xFFFFFF,2021-9-21,4f8c1c01,中秋快乐
BV1i34112729,61.93400,1,25,0xFFFFFF,2021-9-21,8169fd5a,中秋节快乐
BV1i34112729,43.21900,1,25,0xFFFFFF,2021-9-21,4eaf9e1f,中秋节快乐
BV1i34112729,86.07800,1,25,0xFFFFFF,2021-10-4,a519928,童年女神呜呜呜呜
BV1i34112729,46.35300,1,25,0xFFFFFF,2021-10-3,3818fff3,中秋节快乐
BV1i34112729,37.73900,1,25,0xFFFFFF,2021-10-1,d933e705,中秋节快乐
BV1i34112729,19.59900,1,25,0xFFFFFF,2021-9-25,5de8fd7d,中秋快乐
BV1i34112729,100.11900,1,25,0xFFFFFF,2021-9-24,657c4a39,中秋快乐
BV1i34112729,45.03200,1,25,0xFFFFFF,2021-9-23,820210e9,中秋快乐
BV1i34112729,5.26600,1,25,0xFEF102,2021-9-23,1c288eee,有生之年
BV1i34112729,63.70600,1,25,0xFFFFFF,2021-9-22,4a3fc71a,中秋节快乐
BV1i34112729,53.81900,1,25,0xFFFFFF,2021-9-22,3aa29475,中秋快乐
BV1i34112729,17.55900,1,25,0xFFFFFF,2021-9-22,d69be894,中秋快乐
BV1i34112729,47.09900,1,25,0xFFFFFF,2021-9-22,d2c66472,中秋快乐
BV1i34112729,5.11900,1,25,0xFFFFFF,2021-9-22,236c2202,中秋节快乐
BV1i34112729,82.26300,1,25,0xFFFFFF,2021-9-22,53b5a61,月亮姐姐啊啊啊啊啊啊啊
BV1i34112729,72.78700,1,25,0xFFFFFF,2021-9-22,d8345c41,中秋节快乐
BV1i34112729,9.47100,1,25,0xFFFFFF,2021-9-22,62b1de31,中秋节快乐
BV1i34112729,6.69900,1,25,0xFFFFFF,2021-9-22,9aded4f0,中秋节快乐
BV1i34112729,47.43500,1,25,0xFFFFFF,2021-9-22,b58e7e17,中秋节快乐
BV1i34112729,59.06600,1,25,0xFFFFFF,2021-9-22,bf151d1e,中秋节快乐
BV1i34112729,48.41800,1,25,0xFFFFFF,2021-9-21,bd7791e5,中秋节快乐！
BV1i34112729,63.63500,1,25,0xFFFFFF,2021-9-21,8df14275,中秋节快乐
BV1i34112729,79.16500,1,25,0xFFFFFF,2021-9-21,4e7a98f1,中秋快乐
BV1i34112729,57.09800,1,25,0xFFFFFF,2021-9-21,a11ada0a,中秋节快乐
BV1i34112729,19.72400,1,25,0xFFFFFF,2021-9-21,5c81dd0b,中秋节快乐
BV1i34112729,102.35100,1,25,0xFFFFFF,2021-9-21,dce54ff2,中秋快乐
BV1i34112729,21.69900,1,25,0xFFFFFF,2021-9-21,6dbedc0b,中秋节快乐
BV1i34112729,17.59900,1,25,0xFFFFFF,2021-9-21,a4a0436e,中秋节快乐
BV1i34112729,51.21100,1,25,0xFFFFFF,2021-9-21,e312d0d7,中秋节快乐
BV1i34112729,86.05900,1,25,0xFFFFFF,2021-9-21,fb7007d9,中秋快乐
BV1i34112729,105.43900,1,25,0xFFFFFF,2021-9-21,62bebd8a,月亮姐姐~~~
BV1i34112729,127.37400,1,25,0xFFFFFF,2021-9-21,923574e9,中秋快乐
BV1i34112729,121.60200,1,25,0xFFFFFF,2021-9-21,923574e9,中秋快乐
BV1i34112729,115.62800,1,25,0xFFFFFF,2021-9-21,aae8c495,中秋快乐
BV1i34112729,59.02700,1,25,0xFFFFFF,2021-9-21,4efebe65,中秋节快乐
BV1i34112729,8.69900,1,25,0xFFFFFF,2021-9-21,ca5b44dd,中秋节快乐
BV1i34112729,92.20400,1,25,0xFFFFFF,2021-9-21,7b6c277e,中秋快乐
BV1i34112729,64.68600,1,25,0xFFFFFF,2021-9-21,15b01758,中秋节快乐
BV1i34112729,42.77400,1,25,0xFFFFFF,2021-9-21,577033e7,中秋节快乐
BV1i34112729,51.74700,1,25,0xFFFFFF,2021-9-21,695da151,中秋节快乐
BV1i34112729,59.39900,1,25,0xFFFFFF,2021-9-21,d99a0ac2,中秋节快乐
BV1i34112729,53.46700,1,25,0xFFFFFF,2021-9-21,c2272efb,中秋节快乐
BV1i34112729,72.09900,1,25,0xFFFFFF,2021-9-21,afcc5a62,中秋快乐
BV1i34112729,32.23200,1,25,0xFFFFFF,2021-9-21,bc751924,中秋节快乐
BV1i34112729,54.07600,1,25,0xFFFFFF,2021-9-21,5caabcda,中秋节快乐
BV1i34112729,129.16800,1,25,0xFFFFFF,2021-9-29,b2e406a1,YYDS
BV1i34112729,26.94200,1,25,0xFFFFFF,2021-9-28,e6654abb,中秋快乐
BV1i34112729,85.92900,1,25,0xFFFFFF,2021-9-24,e1d15c01,月亮姐姐
BV1i34112729,113.89900,1,25,0xFFFFFF,2021-9-24,9ed0e8c7,哈哈哈哈哈哈哈
BV1i34112729,3.07900,1,25,0xFFFFFF,2021-9-24,a063abe5,中秋节快乐
BV1i34112729,69.57600,1,25,0xFFFFFF,2021-9-23,3b9dd60a,中秋节快乐！
BV1i34112729,36.64000,1,25,0xFFFFFF,2021-9-23,78149fb2,中秋快乐
BV1i34112729,123.42200,1,25,0xFFFFFF,2021-9-23,46a35f66,少冰近乎去冰
BV1i34112729,77.43700,1,25,0xFFFFFF,2021-9-22,9ea170ee,中秋节快乐
BV1i34112729,40.72000,1,25,0xFFFFFF,2021-9-22,a49c540b,中秋快乐
BV1i34112729,77.93900,1,25,0xFFFFFF,2021-9-22,633bb165,中秋节快乐
BV1i34112729,50.71600,1,25,0xE70012,2021-9-22,9ec83c43,中秋节快乐
BV1i34112729,132.09900,1,25,0xFFFFFF,2021-9-22,5c7d9362,中秋节快乐！
BV1i34112729,44.03400,1,25,0xFFFFFF,2021-9-22,ad66b0f4,中秋节快乐
BV1i34112729,71.08600,1,25,0xFFFFFF,2021-9-22,6d72c2c8,中秋节快乐
BV1i34112729,26.37600,1,25,0xFFFFFF,2021-9-22,f785ec28,月亮姐姐！！
BV1i34112729,54.07800,1,25,0xFFFFFF,2021-9-22,7aded7f1,中秋节快乐
BV1i34112729,47.06000,1,25,0xFFFFFF,2021-9-22,dd202e59,中秋节快乐
BV1i34112729,3.29900,1,25,0xFFFFFF,2021-9-22,ec48570a,中秋节快乐
